code_name,SMILES,C#C_C_1_Partial charge,C#C_C_1_Dipole moment,C#C_C_1_Electrophil.,C#C_C_1_Nucleophil.,C#C_C_1_Radical attack,C#C_C_1_SASA,C#C_C_1_Buried volume,C#C_C_1_H bond with H2O,C#C_C_1_s proportion,C#C_C_1_p proportion,C#C_C_1_d proportion,C#C_C_1_Coord. numbers,C#C_C_1_Polariz. alpha,C#C_C_1_FOD,C#C_C_1_Dispersion,C#C_C_1_Pyramidalization,C#C_C_1_Pyramidaliz. volume,C#C_C_2_Partial charge,C#C_C_2_Dipole moment,C#C_C_2_Electrophil.,C#C_C_2_Nucleophil.,C#C_C_2_Radical attack,C#C_C_2_SASA,C#C_C_2_Buried volume,C#C_C_2_H bond with H2O,C#C_C_2_s proportion,C#C_C_2_p proportion,C#C_C_2_d proportion,C#C_C_2_Coord. numbers,C#C_C_2_Polariz. alpha,C#C_C_2_FOD,C#C_C_2_Dispersion,C#C_C_2_Pyramidalization,C#C_C_2_Pyramidaliz. volume,C#C_max_Partial charge,C#C_max_Dipole moment,C#C_max_Electrophil.,C#C_max_Nucleophil.,C#C_max_Radical attack,C#C_max_SASA,C#C_max_Buried volume,C#C_max_H bond with H2O,C#C_max_s proportion,C#C_max_p proportion,C#C_max_d proportion,C#C_max_Coord. numbers,C#C_max_Polariz. alpha,C#C_max_FOD,C#C_max_Dispersion,C#C_max_Pyramidalization,C#C_max_Pyramidaliz. volume,C#C_min_Partial charge,C#C_min_Dipole moment,C#C_min_Electrophil.,C#C_min_Nucleophil.,C#C_min_Radical attack,C#C_min_SASA,C#C_min_Buried volume,C#C_min_H bond with H2O,C#C_min_s proportion,C#C_min_p proportion,C#C_min_d proportion,C#C_min_Coord. numbers,C#C_min_Polariz. alpha,C#C_min_FOD,C#C_min_Dispersion,C#C_min_Pyramidalization,C#C_min_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
alkyne_11,C#CCc1ccc(C)cc1,-0.0452,0.3354,0.027,0.0379,0.0322,51.7612,0.2564,-0.003,1.069,3.133,0.0,1.909,9.464,0.0033,16.1877,0.0,0.0099,0.0082,0.9813,0.014,0.0296,0.0218,12.8303,0.4404,-0.001,1.116,2.9130000000000003,0.0,1.972,9.084,0.0027,22.4224,0.0104,0.8272,0.0082,0.9813,0.027,0.0379,0.0322,51.7612,0.4404,-0.001,1.116,3.133,0.0,1.972,9.464,0.0033,22.4224,0.0104,0.8272,-0.0452,0.3354,0.014,0.0296,0.0218,12.8303,0.2564,-0.003,1.069,2.9130000000000003,0.0,1.909,9.084,0.0027,16.1877,0.0,0.0099,11.1931,-9.5513,1.6418,8.2245,-1.7802,0.7166,0,336.4531,-1.9886,-0.6655,-8.1829,108.8484,0.0429,10.0047,0.1,3.2222,0.5189,1.5271,13.1617,2.5384,105.8195,2.17072
alkyne_12,C#CC(C)(C)c1ccccc1,-0.0378,0.3003,0.0214,0.0402,0.0308,44.891,0.3034,-0.002,1.073,3.108,0.0,1.909,9.453,0.0031,17.892,0.0,0.0955,-0.0016,0.9141,0.0052,0.024,0.0146,0.93,0.5606,0.0,1.123,2.899,0.0,1.993,9.085,0.0024,26.7003,2.0,2.2956,-0.0016,0.9141,0.0214,0.0402,0.0308,44.891,0.5606,0.0,1.123,3.108,0.0,1.993,9.453,0.0031,26.7003,2.0,2.2956,-0.0378,0.3003,0.0052,0.024,0.0146,0.93,0.3034,-0.002,1.073,2.899,0.0,1.909,9.085,0.0024,17.892,0.0,0.0955,11.4158,-9.7205,1.6953,8.3748,-1.8423,0.4234,0,344.9328,-1.5904,-0.5416000000000001,-8.308,120.6495,0.0409,10.2171,0.0979,3.2663,0.5221,1.5079,13.2864,2.4524,109.2059,2.5974
alkyne_13,C#Cc1ccccc1CC,-0.0225,0.319,0.0673,0.0563,0.0614,46.7911,0.275,-0.003,1.062,3.215,0.0,1.909,9.418,0.0107,17.1598,0.0,0.526,-0.012,0.7632,0.0369,0.0304,0.0336,9.5102,0.4904,-0.001,1.109,2.943,0.0,1.982,9.088,0.0044,23.2137,2.0,1.5332,-0.012,0.7632,0.0673,0.0563,0.0614,46.7911,0.4904,-0.001,1.109,3.215,0.0,1.982,9.418,0.0107,23.2137,2.0,1.5332,-0.0225,0.319,0.0369,0.0304,0.0336,9.5102,0.275,-0.003,1.062,2.943,0.0,1.909,9.088,0.0044,17.1598,0.0,0.526,9.9661,-9.1606,0.8055,8.2166,-1.2269,0.4978,0,326.7129,-1.5537,-0.5407000000000001,-8.417300000000001,108.9477,0.0659,9.4435,0.1059,3.4948,0.6467,1.377,13.2753,2.8042,90.5342,2.2303
alkyne_14,C#Cc1cccc(CC)c1,-0.0204,0.3348,0.0698,0.0639,0.0665,52.6212,0.2496,-0.003,1.062,3.213,0.0,1.909,9.407,0.0104,15.8914,0.0,0.0925,-0.0095,0.758,0.0379,0.0406,0.0392,13.4903,0.4454,-0.001,1.109,2.944,0.0,1.981,9.087,0.0045,22.1351,2.0,0.4018,-0.0095,0.758,0.0698,0.0639,0.0665,52.6212,0.4454,-0.001,1.109,3.213,0.0,1.981,9.407,0.0104,22.1351,2.0,0.4018,-0.0204,0.3348,0.0379,0.0406,0.0392,13.4903,0.2496,-0.003,1.062,2.944,0.0,1.909,9.087,0.0045,15.8914,0.0,0.0925,10.0774,-9.2622,0.8152,8.3605,-1.2204,0.6253000000000001,0,335.1231,-1.6286,-0.5402,-8.461,108.9921,0.0637,9.5809,0.1044,3.5701,0.6652,1.3462,13.3537,2.8311,92.0673,2.230299999999999
alkyne_15,C#CCC#Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9684,-9.1295,0.8389000000000001,7.9565,-1.1721,0.2228,0,362.3641,-2.7217,-0.766,-8.38,115.2999,0.0717,9.1286,0.1095,3.3922,0.6303000000000001,1.4176,12.7749,3.3785,90.6674,2.0614
alkyne_16,C#CCc1ccccc1C,-0.0431,0.3263,0.027,0.0381,0.0323,46.8611,0.2764,-0.003,1.07,3.132,0.0,1.909,9.47,0.0031,16.9008,0.0001,0.6395000000000001,0.0074,0.9863,0.0138,0.027,0.0207,11.7903,0.4745,-0.001,1.117,2.91,0.0,1.971,9.08,0.0025,22.3562,0.0162,1.2254,0.0074,0.9863,0.027,0.0381,0.0323,46.8611,0.4745,-0.001,1.117,3.132,0.0,1.971,9.47,0.0031,22.3562,0.0162,1.2254,-0.0431,0.3263,0.0138,0.027,0.0207,11.7903,0.2764,-0.003,1.07,2.91,0.0,1.909,9.08,0.0025,16.9008,0.0001,0.6395000000000001,11.1737,-9.5667,1.607,8.3477,-1.7936,0.4953,0,322.8231,-1.8994,-0.5986,-8.225,108.8469,0.0419,10.1413,0.0986,3.2771,0.5295,1.5009,13.4151,2.4835000000000003,107.3356,2.17072
alkyne_17,C#CCN,-0.0481,0.3654,0.0298,0.0173,0.0235,52.7612,0.2379,-0.003,1.035,3.367,0.0,1.909,9.424,0.0018,14.6852,0.0,0.7233,0.0091,0.926,0.0326,0.011,0.0217,17.0504,0.3858,-0.001,1.055,3.163,0.0,1.967,9.098,0.0017,18.6378,0.0157,1.5013,0.0091,0.926,0.0326,0.0173,0.0235,52.7612,0.3858,-0.001,1.055,3.367,0.0,1.967,9.424,0.0018,18.6378,0.0157,1.5013,-0.0481,0.3654,0.0298,0.011,0.0217,17.0504,0.2379,-0.003,1.035,3.163,0.0,1.909,9.098,0.0017,14.6852,0.0,0.7233,12.5957,-9.541,3.0547,8.8863,-4.8675,1.8010000000000002,0,211.2913,-3.6666,-1.7696,-7.1115,43.8402,0.0065,13.7538,0.0727,2.0094,0.1468,2.3171,15.8711,-2.8092,153.0408,-0.421699999999999
alkyne_18,C#CCCC,-0.0529,0.3365,0.0293,0.0165,0.0229,48.3011,0.2598,-0.003,1.04,3.324,0.0,1.909,9.47,0.0011,15.6829,0.0,0.2403,0.0075,0.9602,0.0341,0.0124,0.0232,13.5703,0.4354,-0.001,1.059,3.121,0.0,1.967,9.093,0.001,20.1177,0.0099,1.0283,0.0075,0.9602,0.0341,0.0165,0.0232,48.3011,0.4354,-0.001,1.059,3.324,0.0,1.967,9.47,0.0011,20.1177,0.0099,1.0283,-0.0529,0.3365,0.0293,0.0124,0.0229,13.5703,0.2598,-0.003,1.04,3.121,0.0,1.909,9.093,0.001,15.6829,0.0,0.2403,13.5464,-10.0734,3.473,9.2586,-5.2129,0.5994,0,244.6217,-1.0584,-0.4904,-7.3632,58.0157,0.0025,14.4715,0.0691,2.0228,0.1414,2.2741,15.0901,-3.3645,160.224,1.4197
alkyne_19,C#CCC,-0.0563,0.3492,0.0317,0.0209,0.0262,52.7412,0.2426,-0.003,1.039,3.343,0.0,1.909,9.464,0.0011,14.7777,0.0,0.1655,0.0073,0.9462,0.0368,0.015,0.0259,15.3904,0.3999,-0.001,1.06,3.123,0.0,1.967,9.103,0.001,19.1055,0.0056,0.5772,0.0073,0.9462,0.0368,0.0209,0.0262,52.7412,0.3999,-0.001,1.06,3.343,0.0,1.967,9.464,0.0011,19.1055,0.0056,0.5772,-0.0563,0.3492,0.0317,0.015,0.0259,15.3904,0.2426,-0.003,1.039,3.123,0.0,1.909,9.103,0.001,14.7777,0.0,0.1655,13.6757,-10.0471,3.6286,9.4838,-5.2567,0.623,0,219.1418,-1.0589,-0.4906,-7.3765,46.3473,0.0024,14.7405,0.0678,2.1136,0.1515,2.1919,15.9332,-3.5654,160.6069,1.029599999999999
alkyne_20,C#CC(C)C,-0.0512,0.3343,0.0305,0.0185,0.0245,52.3612,0.2601,-0.003,1.042,3.309,0.0,1.909,9.458,0.0011,15.5287,0.0,0.3175,0.004,0.9219,0.0357,0.013,0.0243,7.9502,0.46,-0.001,1.068,3.099,0.0,1.978,9.106,0.001,21.2605,0.0002,0.017,0.004,0.9219,0.0357,0.0185,0.0245,52.3612,0.46,-0.001,1.068,3.309,0.0,1.978,9.458,0.0011,21.2605,0.0002,0.3175,-0.0512,0.3343,0.0305,0.013,0.0243,7.9502,0.2601,-0.003,1.042,3.099,0.0,1.909,9.106,0.001,15.5287,0.0,0.017,13.6919,-10.1188,3.5731,9.3255,-5.1655,0.5871000000000001,0,246.0318,-1.0009,-0.4865,-7.3836,58.0168,0.0025,14.491,0.069,2.08,0.1493,2.2279,15.3335,-3.2651,160.1892,1.275599999999999
