code_name,SMILES,C#C_C_1_Partial charge,C#C_C_1_Dipole moment,C#C_C_1_Electrophil.,C#C_C_1_Nucleophil.,C#C_C_1_Radical attack,C#C_C_1_SASA,C#C_C_1_Buried volume,C#C_C_1_H bond with H2O,C#C_C_2_Partial charge,C#C_C_2_Dipole moment,C#C_C_2_Electrophil.,C#C_C_2_Nucleophil.,C#C_C_2_Radical attack,C#C_C_2_SASA,C#C_C_2_Buried volume,C#C_C_2_H bond with H2O,C#C_max_Partial charge,C#C_max_Dipole moment,C#C_max_Electrophil.,C#C_max_Nucleophil.,C#C_max_Radical attack,C#C_max_SASA,C#C_max_Buried volume,C#C_max_H bond with H2O,C#C_min_Partial charge,C#C_min_Dipole moment,C#C_min_Electrophil.,C#C_min_Nucleophil.,C#C_min_Radical attack,C#C_min_SASA,C#C_min_Buried volume,C#C_min_H bond with H2O,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
alkyne_12,C#CC(C)(C)c1ccccc1,-0.0378,0.3003,0.0214,0.0402,0.0308,44.891,0.3034,-0.002,-0.0016,0.9141,0.0052,0.024,0.0146,0.93,0.5606,0.0,-0.0016,0.9141,0.0214,0.0402,0.0308,44.891,0.5606,0.0,-0.0378,0.3003,0.0052,0.024,0.0146,0.93,0.3034,-0.002,11.4158,-9.7205,1.6953,8.3748,-1.8423,0.4234,0,344.9328,-1.5904,-0.5416000000000001,2.5974
alkyne_13,C#Cc1ccccc1CC,-0.0225,0.319,0.0673,0.0563,0.0614,46.7911,0.275,-0.003,-0.012,0.7632,0.0369,0.0304,0.0336,9.5102,0.4904,-0.001,-0.012,0.7632,0.0673,0.0563,0.0614,46.7911,0.4904,-0.001,-0.0225,0.319,0.0369,0.0304,0.0336,9.5102,0.275,-0.003,9.9661,-9.1606,0.8055,8.2166,-1.2269,0.4978,0,326.7129,-1.5537,-0.5407000000000001,2.2303
alkyne_14,C#Cc1cccc(CC)c1,-0.0204,0.3348,0.0698,0.0639,0.0665,52.6212,0.2496,-0.003,-0.0095,0.758,0.0379,0.0406,0.0392,13.4903,0.4454,-0.001,-0.0095,0.758,0.0698,0.0639,0.0665,52.6212,0.4454,-0.001,-0.0204,0.3348,0.0379,0.0406,0.0392,13.4903,0.2496,-0.003,10.0774,-9.2622,0.8152,8.3605,-1.2204,0.6253000000000001,0,335.1231,-1.6286,-0.5402,2.230299999999999
alkyne_15,C#CCC#Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9684,-9.1295,0.8389000000000001,7.9565,-1.1721,0.2228,0,362.3641,-2.7217,-0.766,2.0614
alkyne_16,C#CCc1ccccc1C,-0.0431,0.3263,0.027,0.0381,0.0323,46.8611,0.2764,-0.003,0.0074,0.9863,0.0138,0.027,0.0207,11.7903,0.4745,-0.001,0.0074,0.9863,0.027,0.0381,0.0323,46.8611,0.4745,-0.001,-0.0431,0.3263,0.0138,0.027,0.0207,11.7903,0.2764,-0.003,11.1737,-9.5667,1.607,8.3477,-1.7936,0.4953,0,322.8231,-1.8994,-0.5986,2.17072
alkyne_17,C#CCN,-0.0481,0.3654,0.0298,0.0173,0.0235,52.7612,0.2379,-0.003,0.0091,0.926,0.0326,0.011,0.0217,17.0504,0.3858,-0.001,0.0091,0.926,0.0326,0.0173,0.0235,52.7612,0.3858,-0.001,-0.0481,0.3654,0.0298,0.011,0.0217,17.0504,0.2379,-0.003,12.5957,-9.541,3.0547,8.8863,-4.8675,1.8010000000000002,0,211.2913,-3.6666,-1.7696,-0.421699999999999
alkyne_18,C#CCCC,-0.0529,0.3365,0.0293,0.0165,0.0229,48.3011,0.2598,-0.003,0.0075,0.9602,0.0341,0.0124,0.0232,13.5703,0.4354,-0.001,0.0075,0.9602,0.0341,0.0165,0.0232,48.3011,0.4354,-0.001,-0.0529,0.3365,0.0293,0.0124,0.0229,13.5703,0.2598,-0.003,13.5464,-10.0734,3.473,9.2586,-5.2129,0.5994,0,244.6217,-1.0584,-0.4904,1.4197
alkyne_19,C#CCC,-0.0563,0.3492,0.0317,0.0209,0.0262,52.7412,0.2426,-0.003,0.0073,0.9462,0.0368,0.015,0.0259,15.3904,0.3999,-0.001,0.0073,0.9462,0.0368,0.0209,0.0262,52.7412,0.3999,-0.001,-0.0563,0.3492,0.0317,0.015,0.0259,15.3904,0.2426,-0.003,13.6757,-10.0471,3.6286,9.4838,-5.2567,0.623,0,219.1418,-1.0589,-0.4906,1.029599999999999
alkyne_20,C#CC(C)C,-0.0512,0.3343,0.0305,0.0185,0.0245,52.3612,0.2601,-0.003,0.004,0.9219,0.0357,0.013,0.0243,7.9502,0.46,-0.001,0.004,0.9219,0.0357,0.0185,0.0245,52.3612,0.46,-0.001,-0.0512,0.3343,0.0305,0.013,0.0243,7.9502,0.2601,-0.003,13.6919,-10.1188,3.5731,9.3255,-5.1655,0.5871000000000001,0,246.0318,-1.0009,-0.4865,1.275599999999999
alkyne_21,C#CCC(C)C,-0.0521,0.3326,0.027,0.0147,0.0208,48.2811,0.2604,-0.003,0.0071,0.9747,0.0312,0.0107,0.021,13.5303,0.4378,-0.001,0.0071,0.9747,0.0312,0.0147,0.021,48.2811,0.4378,-0.001,-0.0521,0.3326,0.027,0.0107,0.0208,13.5303,0.2604,-0.003,13.6429,-10.0672,3.5757,9.032,-5.1417,0.6393,0,269.0618,-1.1231,-0.5181,1.6657000000000002
alkyne_22,C#CCCCN,-0.0566,0.3327,0.0157,0.007,0.0113,45.0811,0.2772,-0.003,0.0059,0.9667,0.0182,0.0047,0.0115,12.1303,0.461,-0.001,0.0059,0.9667,0.0182,0.007,0.0115,45.0811,0.461,-0.001,-0.0566,0.3327,0.0157,0.0047,0.0113,12.1303,0.2772,-0.003,12.8255,-9.3781,3.4474,8.2568,-5.3702,1.9047,0,261.2612,-3.1725,-1.5342,0.3585
alkyne_23,C#CC(C)N,-0.0425,0.3477,0.0281,0.0151,0.0215,52.1512,0.2562,-0.003,0.0063,0.9065,0.0312,0.0093,0.0203,9.8602,0.4475,-0.001,0.0063,0.9065,0.0312,0.0151,0.0215,52.1512,0.4475,-0.001,-0.0425,0.3477,0.0281,0.0093,0.0203,9.8602,0.2562,-0.003,12.8245,-9.6359,3.1886,8.7954,-4.8728,1.9053,0,239.1113,-3.4256,-1.6122,-0.0332
alkyne_24,C#CC(C)CC,-0.05,0.3299,0.0272,0.0146,0.0209,51.8112,0.261,-0.003,0.0025,0.938,0.0316,0.0099,0.0207,7.9602,0.4625,-0.001,0.0025,0.938,0.0316,0.0146,0.0209,51.8112,0.4625,-0.001,-0.05,0.3299,0.0272,0.0099,0.0207,7.9602,0.261,-0.003,13.5873,-10.1094,3.4779,9.0237,-5.109,0.6513,0,272.0018,-1.0534,-0.4971,1.6657000000000002
alkyne_25,C#CCC#CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6594,-9.8211,2.8383000000000003,8.4244,-3.728,0.5112,0,302.7827,-2.1404,-0.7663000000000001,1.4231
alkyne_26,C#CCC#CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7912,-9.7586,3.0326,8.6078,-3.8361,0.6341,0,270.5529,-2.2488,-0.8122,1.033
alkyne_27,C#CC(CC)CC,-0.0448,0.3063,0.0241,0.0106,0.0174,41.771,0.3023,-0.002,0.0033,0.9386,0.0282,0.0065,0.0174,7.1502,0.5364,-0.001,0.0033,0.9386,0.0282,0.0106,0.0174,41.771,0.5364,-0.001,-0.0448,0.3063,0.0241,0.0065,0.0174,7.1502,0.3023,-0.002,13.3784,-10.1611,3.2173,8.7147,-5.0682,0.5402,0,286.5216,-0.9703,-0.4713,2.0558
alkyne_28,C#CC,-0.0645,0.363,0.0361,0.0304,0.0333,53.0912,0.2263,-0.003,0.0128,0.9826,0.0439,0.0254,0.0346,23.2105,0.3401,-0.002,0.0128,0.9826,0.0439,0.0304,0.0346,53.0912,0.3401,-0.002,-0.0645,0.363,0.0361,0.0254,0.0333,23.2105,0.2263,-0.003,14.2215,-9.9702,4.2513,10.0398,-5.494,0.6726000000000001,0,186.5621,-1.2346,-0.5514,0.6395000000000001
alkyne_29,C#CCCCBr,-0.0482,0.3286,0.0214,0.0468,0.0344,41.151,0.3051,-0.002,-0.0022,0.9707,0.0154,0.0399,0.0274,13.1003,0.4803,-0.001,-0.0022,0.9707,0.0214,0.0468,0.0344,41.151,0.4803,-0.001,-0.0482,0.3286,0.0154,0.0399,0.0274,13.1003,0.3051,-0.002,11.4531,-10.2524,1.2007,8.8639,-2.2171,1.9753,0,269.7325,-3.3934,-0.8606,1.7947000000000002
alkyne_30,C#CCBr,-0.0271,0.3486,0.0881,0.0912,0.0896,52.1612,0.2479,-0.003,0.0001,0.9337,0.0585,0.0694,0.0639,17.2104,0.4105,-0.001,0.0001,0.9337,0.0881,0.0912,0.0896,52.1612,0.4105,-0.001,-0.0271,0.3486,0.0585,0.0694,0.0639,17.2104,0.2479,-0.003,11.2125,-10.5659,0.6466000000000001,9.7573,-1.4123,1.2639,0,223.6931,-2.9065000000000003,-1.0347,1.0145
alkyne_31,C#CCOCCl,-0.0211,0.3426,0.0373,0.0394,0.0381,42.691,0.295,-0.002,-0.002,0.9429,0.0377,0.0329,0.0355,15.1004,0.4662,-0.001,-0.002,0.9429,0.0377,0.0394,0.0381,42.691,0.4662,-0.001,-0.0211,0.3426,0.0373,0.0329,0.0355,15.1004,0.295,-0.002,12.2659,-10.4696,1.7963,9.3589,-2.8232,1.8008000000000002,0,253.2806,-4.3303,-1.1701,0.8325
alkyne_32,C#CCCOCCBr,-0.0447,0.3368,0.0317,0.0438,0.0375,51.0012,0.2554,-0.003,0.0095,0.9908,0.0301,0.0327,0.0317,13.5703,0.4342,-0.001,0.0095,0.9908,0.0317,0.0438,0.0375,51.0012,0.4342,-0.001,-0.0447,0.3368,0.0301,0.0327,0.0317,13.5703,0.2554,-0.003,11.248,-10.032,1.216,8.5832,-1.9227,3.0275,0,324.9426,-4.371,-1.0493,1.4212
