code_name,SMILES
mol_114,CCCNC(C)c1ccccc1Br
mol_115,O=Cc1ccc(F)c(Br)c1
mol_116,OCCc1cc2cc(Br)ccc2o1
mol_117,Nc1nc(Cc2ccc(Br)cc2)cs1
mol_118,Brc1cnc2[nH]ccc2c1
mol_119,Nc1ccc(F)c(S(=O)(=O)Nc2ccc(Br)cc2)c1
mol_120,Brc1nncs1
mol_121,CC(=O)N1CCCc2cc(Br)ccc21
mol_122,C=CC(=O)Nc1ccc(Br)cc1
mol_123,CC(=O)c1sccc1Br
mol_124,CNc1ccc(Br)cc1N
mol_125,N#Cc1cc(Br)cs1
mol_126,O=c1[nH]c2ccc(Br)cc2o1
mol_127,COc1ccc(Br)cc1C#N
mol_128,O=Cc1cc(Br)c2c(c1)OCCO2
mol_129,Brc1cccc(-c2ccc(CN3CCNCC3)s2)c1
mol_130,COC(=O)C(=O)CC(=O)c1ccccc1Br
mol_131,Brc1ccc(NCc2cccnc2)cc1
mol_132,Brc1ccc(NCc2ccccn2)cc1
mol_133,O=c1cc(-c2ccccc2)nc2sc(Br)nn12
mol_134,OC1CCc2cc(Br)ccc2C1
mol_135,Cc1nc(O)c2cc(Br)ccc2n1
mol_136,O=C1Nc2ccc(Br)cc2C1(O)C(F)(F)F
mol_137,COc1cc(C=O)ccc1OCc1ccc(Br)cc1
mol_138,Cc1nc(N)sc1Cc1cccc(Br)c1
mol_139,COc1cc(N)c(Br)cc1OC
mol_140,Cc1cc(Br)c2c(c1)C(=O)CCO2
mol_141,Nc1nnc(-c2cc(F)cc(Br)c2)s1
mol_142,CCOCCOc1ccc(Br)cc1C=O
mol_143,COC(=O)c1n[nH]c(C)c1Br
mol_144,NC(=O)C(N)c1cccc(Br)c1
mol_145,COc1ccc(Br)c(N)c1
mol_146,CCOc1cc(N)c(Br)cc1OCC
mol_147,CN(C)CCOc1cccc(Br)c1
mol_148,COc1ccc([C@@H](C)O)cc1Br
mol_149,COC(=O)CS(=O)(=O)c1ccc(Br)cc1
mol_150,CCC(=O)CCc1ccc(Br)cc1
mol_151,OCCNCc1ccccc1Br
mol_152,Brc1ccc2c(c1)CCC2
mol_153,CN(C)C(=O)c1ccc(F)cc1Br
mol_154,CC(=O)c1nnn(-c2cccc(Br)c2)c1C
mol_155,CCCCOc1ccc(C)cc1Br
mol_156,Brc1ccc2nccn2c1
mol_157,COC(=O)COc1ccc(Br)cc1
mol_158,COC(=O)c1cc2c(F)cc(Br)cc2[nH]1
mol_159,O=c1cc(-c2ccccc2)[nH]c2ccc(Br)cc12
mol_160,NCC1CCN(c2cccc(Br)c2)C1
mol_161,COCCCN1C(=O)C(=O)c2cc(Br)ccc21
mol_162,O=c1[nH]c(-c2cccc(Br)c2)no1
mol_163,O=C(c1cc(Br)c[nH]1)N1CCc2ccccc2C1
mol_164,COc1ccc(Br)cc1C1CCCN1
mol_165,NC(=O)c1csc(Br)c1
mol_166,C[C@H](O)c1cccc(Br)c1
mol_167,O=S1(=O)CCCN1c1cccc(Br)c1
mol_168,NC1(c2ccc(Br)cc2)CCC1
mol_169,Cc1nnnn1-c1ccc(Br)cc1
mol_170,N#CCCOc1ccc(Br)cc1
mol_171,CC(C)(N)c1ccc(Br)cc1
mol_172,Fc1cc(Br)ccc1-n1cnnn1
mol_173,Brc1cccc(C2CNCCO2)c1
mol_174,CCOc1ccc(Br)cc1S(=O)(=O)NC
mol_175,COCCCC(=O)c1ccc(Br)cc1
mol_176,OCCSCc1ccc(Br)cc1F
mol_177,O=C1COc2ccc(Br)cc21
mol_178,O=C(c1ccc(Br)cc1)N1CCc2ccccc21
mol_179,N#Cc1cccnc1Br
mol_180,Fc1ccc(-c2n[nH]cc2Br)cc1
mol_181,CC1(c2ccc(Br)s2)NC(=O)NC1=O
mol_182,CCOc1ccccc1Br
mol_183,CC(C)Oc1ccc(Br)cc1
mol_184,COc1cc(Br)c(O)c(C=O)c1
mol_185,Nc1nnc(-c2ccc(Br)c(F)c2)s1
mol_186,O=c1cc[nH]c2c(Br)cccc12
mol_187,Brc1cccc(C2OCCCO2)c1
mol_188,CCOC(=O)Cn1c(=O)[nH]c2cc(Br)cnc21
mol_189,CS(=O)(=O)Nc1cccc(Br)c1
mol_190,CC(=O)c1sc(-c2ccccc2Br)nc1C
mol_191,O=c1cc[nH]c2c(F)cc(Br)cc12
mol_192,COC(=O)c1cc(Br)ccc1O
mol_193,COc1ccc(Br)c(C(N)=O)c1
mol_194,Nc1ncn(Cc2ccc(Br)cc2)n1
mol_195,Brc1cccc2c1CCNC2
mol_196,Fc1ccc(Br)c(-c2nn[nH]n2)c1
mol_197,FC(F)(F)c1ccc(Br)s1
mol_198,CC(C)OC1CCc2cc(Br)ccc21
mol_199,Cc1cccc(CN(C)C(=O)c2cc(Br)c[nH]2)c1
mol_200,O=C(Nc1ccc(Br)cc1)C1CCNCC1
mol_201,O=C(Nc1cccc(Br)c1)C1CCNCC1
mol_202,Nc1cc(Br)ccc1NC1CCC(O)CC1
mol_203,O=C(c1ccc(Br)cc1)c1cccnc1
mol_204,O=c1[nH][nH]c2ncc(Br)cc12
mol_205,Cc1cnn(-c2cccc(Br)c2)c1
mol_206,COC(=O)C(C)Oc1ccc(F)cc1Br
mol_207,CC(=O)Cc1ccc(Br)cc1F
mol_208,O=C1CCS(=O)(=O)c2ccc(Br)cc21
mol_209,Brc1ccc(Oc2ccc(CNC3CC3)cc2)cc1
mol_210,OC(c1cc(Br)ccc1F)C(F)(F)F
mol_211,COC(=O)CCCSc1ccc(Br)cc1
mol_212,CNS(=O)(=O)c1cc(Br)ccc1C
mol_213,O=C(CC(=O)c1ccc(Br)cc1)c1ccccc1
mol_214,Brc1c[nH]c2nc(C3CCCO3)nc-2c1
mol_215,Nc1ccc(CNC(=O)c2ccc(Br)cc2)cc1
mol_216,N#CCC(=O)c1ccc(Br)s1
mol_217,O=C(c1cc2cc(Br)ccc2o1)c1cccs1
mol_218,OCc1ccc(Oc2ccc(Br)cc2)c(F)c1
mol_219,Oc1ncncc1Br
mol_220,Nc1nnc(-c2cc(Br)ccc2F)s1
mol_221,Nc1cc(Br)ccc1-n1cccn1
mol_222,CC(C)(O)Cc1ccc(Br)cc1
mol_223,OC(c1ccc(Br)cc1)C1CC1
mol_224,COc1ccc(Br)c(C(=O)NN)c1
mol_225,CC(C)(CO)Nc1ccc(Br)cn1
mol_226,CNc1ccc(Br)nc1
mol_227,O=Cc1ncc(-c2ccc(Br)cc2)[nH]1
mol_228,NNc1ccc(Br)nc1
mol_229,NC1CCCN(CCS(=O)(=O)c2ccc(Br)cc2)C1
mol_230,Cc1ccc(S(=O)(=O)Nc2ccccc2Br)cc1
mol_231,OCCCOc1ccccc1Br
mol_232,CN(CCc1ccccn1)c1ncc(Br)cc1CO
mol_233,Oc1ccnc2cc(Br)ccc12
mol_234,OCc1cc2cc(Br)ccc2o1
mol_235,Oc1ncc(Br)c(C(F)(F)F)n1
mol_236,OCc1cc(Br)cnc1N1CCOCC1
mol_237,Nc1ccnc(Oc2ccccc2Br)c1
mol_238,COc1ccc(S(N)(=O)=O)cc1Br
mol_239,O=S(=O)(CCN1CCCC(O)C1)c1ccc(Br)cc1
mol_240,Nc1ncc(Br)c(C(F)(F)F)n1
mol_241,CNS(=O)(=O)c1cc(Br)cnc1N
mol_242,O=c1[nH]cnc2cc(Br)ccc12
mol_243,Cc1n[nH]c(N)c1-c1cccc(Br)c1
mol_244,Cn1c(=O)oc2cc(Br)ccc21
mol_245,Brc1ccc(CN2CCOCC2)cc1
mol_246,CCc1c(-c2ccc(Br)cc2)n[nH]c1N
mol_247,Brc1ccc(-c2nnco2)cc1
mol_248,FC(F)n1ccnc1Cn1cc(Br)cn1
mol_249,O=C(CC(F)(F)F)c1ccc(Br)cc1
mol_250,COC(=O)Nc1ccc(Br)cc1
mol_251,OCc1cc(Br)cs1
mol_252,Brc1ccccc1-c1ncno1
mol_253,Brc1ccc2c(c1)CNC2
mol_254,Nc1cc(Br)ccc1S(N)(=O)=O
mol_255,COCCOCc1ccc(Br)cc1
mol_256,Cc1cc(Br)cs1
mol_257,O=C(NCCO)c1ccc(Br)cn1
mol_258,O=C1COCC(=O)N1Cc1cccc(Br)c1
mol_259,Nc1ccc(CCn2cc(Br)cn2)cc1
mol_260,O=C(NC1CC1)c1ccc(Br)cc1F
mol_261,N#CC(F)(F)c1ccccc1Br
mol_262,COC(=O)c1cc(Br)ccc1F
mol_263,COCc1ccc(Br)cc1F
mol_264,Cc1nc(-c2ccc(Br)cc2)c(N)n1C
mol_265,COc1ccc(Br)c(C)c1
mol_266,O=C(NCC(F)(F)F)c1ccc(Br)cc1
mol_267,O=C1CCCC(=O)N1Cc1cccc(Br)c1
mol_268,O=C1CCCCN1Cc1cccc(Br)c1
mol_269,O[C@@H]1CCOc2ccc(Br)cc21
mol_270,CC(C)(N)Cc1cccc(Br)c1
mol_271,O=C1C2C3C=CC(C3)C2C(=O)N1c1cccc(Br)c1
mol_272,Nc1cc(-c2ccc(Br)o2)no1
mol_273,O=C1Nc2ccc(Br)cc2C12CCCCC2
mol_274,CCOC(=O)CC(O)c1cc(Br)ccc1OC
mol_275,CCOCCCNc1ncccc1Br
mol_276,CCCCCOc1ncccc1Br
mol_277,CC1(C)CNc2ccc(Br)cc21
mol_278,CC(C)c1nnc(-c2ccc(Br)cc2)o1
mol_279,CCCCOCCOc1ccccc1Br
mol_280,Nc1nc2cc(Br)ccn2n1
mol_281,Cc1nn2cc(Br)cnc2c1C=O
mol_282,O=Cc1cnn2cc(Br)cnc12
mol_283,CNS(=O)(=O)c1ccc(OC)c(Br)c1
mol_284,CCOC(=O)c1cnc2cc(Br)ccc2c1O
mol_285,Brc1cccnc1OC1CCC1
mol_286,O=S1(=O)CCCN1c1ccc(Br)cc1F
mol_287,CCOC(=O)CC(O)c1cccc(Br)c1
mol_288,CCOCCOc1ncccc1Br
mol_289,Cc1ncc(C=O)n1-c1ccc(Br)cc1
mol_290,CC(C)(C)OC(=O)NC1CNCC1c1ccc(Br)cc1
mol_291,CCOC(=O)c1nc(Br)sc1NC
mol_292,O=C(Nc1ccccc1Br)OCC(F)(F)F
mol_293,O=C1CCc2ccc(Br)cc2N1
mol_294,Cc1ccc(NC(=O)OCC(F)(F)F)c(Br)c1
mol_295,Fc1cc2c(cc1Br)CCCN2
mol_296,C[C@@H](O)c1ccc(Br)s1
mol_297,CCOc1ccc(F)cc1Br
mol_298,COC(=O)c1ccc(Br)c2c1OCC=C2
mol_299,Cc1cc(N)c(O)c(Br)c1
mol_300,COC(=O)c1cc(N)c(Br)cc1F
mol_301,O=C1Nc2cc(Br)ccc2C1O
mol_302,CC(O)(Cc1cccc(Br)c1)c1ccccc1
mol_303,COc1ccc(Br)cc1S(N)(=O)=O
mol_304,Cc1cc2c(cc1Br)NC(=O)C(C)O2
mol_305,Brc1cccc2[nH]ccc12
mol_306,Cn1cc(Br)c2cc[nH]c(=O)c21
mol_307,Cc1cc(S(N)(=O)=O)sc1Br
mol_308,COc1ccc(Br)cn1
mol_309,COC(=O)c1ccc(S(N)(=O)=O)c(Br)c1
mol_310,COC(=O)c1ccc(Br)c(C)c1N
mol_311,CN(C)C(=O)c1cccc(Br)c1
mol_312,CC(C=O)c1cccc(Br)c1
mol_313,O=Cc1cnc2cnc(Br)cn12
mol_314,N#Cc1ccc(Br)cc1F
mol_315,COC(=O)CS(=O)c1ccc(Br)cc1
mol_316,Nc1nc2cc(Br)ccc2[nH]1
mol_317,COc1ccc(Br)cc1Cc1nnn[nH]1
mol_318,CCNCc1cc(Br)ccc1O
mol_319,FC(F)(F)COc1ccc(Br)cc1
mol_320,O=Cc1ccc(COc2cccc(Br)c2)o1
mol_321,O=Cc1ccc(COc2ccccc2Br)o1
mol_322,Cc1cccc(COc2ccc(Br)cc2C=O)c1
mol_323,Cc1cc(Br)cnc1N
mol_324,Brc1cc(N2CCOCC2)ccn1
mol_325,COc1ccc(Br)cc1C(N)CO
mol_326,FC(F)(F)c1ccc(Cn2cc(Br)cn2)cc1
mol_327,Nc1nonc1-c1cccc(Br)c1
mol_328,COc1cc(Br)cc(OC)c1
mol_329,Cc1cc(C=O)ccc1Br
mol_330,Nc1nc(Br)cn2ccnc12
mol_331,[N-]=[N+]=Nc1ccc(Br)cc1F
mol_332,C[C@H](O)c1ccccc1Br
mol_333,CC(C)(C)Sc1ccc(Br)cn1
mol_334,CC(O)Cc1cc(F)cc(Br)c1
mol_335,NS(=O)(=O)C=Cc1cccc(Br)c1
mol_336,Brc1ccc2sccc2c1
mol_337,Fc1cccnc1Br
mol_338,COC(=O)c1cc2cccc(Br)c2o1
mol_339,CC(=O)NCc1cccc(Br)c1
mol_340,O=Cc1ccc(F)cc1Br
mol_341,Cc1ccc2c(c1Br)C(=O)C(=O)N2
mol_342,O=S1(=O)CCCN1c1ccccc1Br
mol_343,NC(=O)Cc1ccc(Br)cc1
mol_344,Cc1cc(Br)cnc1O
mol_345,Nc1nc2ccc(Br)cn2n1
mol_346,CC1CCN(CCOc2ccc(Br)cc2)C1
mol_347,Cc1cc2ccccc2nc1Br
mol_348,OCCOc1ccc(Br)cc1
mol_349,Cc1nc(S(=O)(=O)Oc2c(F)c(F)c(F)c(F)c2F)sc1Br
mol_350,COc1ccc(Br)cc1NC(=O)C1CCC1
mol_351,COc1ccc(Br)c(S(N)(=O)=O)c1
mol_352,CCOc1cccc(Br)c1
mol_353,Oc1ncnc2c(F)cc(Br)cc12
mol_354,O=C1COc2cc(Br)ccc21
mol_355,Cc1nn(-c2ncccn2)c(N)c1Br
mol_356,Cc1ccc2cc(Br)ccc2n1
mol_357,Cc1ncc(Br)n1C
mol_358,NCCc1ccccc1Br
mol_359,O=C(Nc1ccc(Br)cc1)OCC(F)(F)F
mol_360,O=c1cc[nH]c2ccc(Br)cc12
mol_361,O=C1CCCC(=O)N1c1ncc(Br)s1
mol_362,OCc1cc2c(cc1Br)OCO2
mol_363,CCc1cc(=O)c2cc(Br)ccc2[nH]1
mol_364,Nc1[nH]ncc1-c1ccccc1Br
mol_365,Cc1cc(Br)ccc1N1CCCS1(=O)=O
mol_366,CC(=O)COc1ccc2cc(Br)ccc2c1
mol_367,O=C1CCN(c2cccc(Br)c2)C1
mol_368,FC(F)c1nnc(Br)s1
